Model,Accuracy,Features
AdaBoost,0.726457399103139,"Pclass, Age, SibSp, Fare"
AdaBoost,0.726457399103139,"Pclass, Age, SibSp, Parch, Fare"
AdaBoost,0.7174887892376681,"Pclass, SibSp, Fare"
AdaBoost,0.7174887892376681,"Age, SibSp, Fare, Embarked"
AdaBoost,0.7174887892376681,"Age, SibSp, Parch, Fare, Embarked"
AdaBoost,0.7130044843049327,"Pclass, Age"
AdaBoost,0.7040358744394619,"SibSp, Fare"
AdaBoost,0.7040358744394619,"Pclass, Age, Embarked"
AdaBoost,0.7040358744394619,"SibSp, Parch, Fare"
AdaBoost,0.7040358744394619,"SibSp, Fare, Embarked"
AdaBoost,0.7040358744394619,"Pclass, Age, SibSp, Embarked"
AdaBoost,0.7040358744394619,"SibSp, Parch, Fare, Embarked"
AdaBoost,0.6995515695067265,"Pclass, Parch, Fare, Embarked"
AdaBoost,0.6995515695067265,"Pclass, SibSp, Parch, Fare, Embarked"
AdaBoost,0.695067264573991,Fare
AdaBoost,0.695067264573991,"Parch, Fare"
AdaBoost,0.695067264573991,"Age, SibSp, Fare"
AdaBoost,0.695067264573991,"Age, SibSp, Parch, Fare"
AdaBoost,0.6905829596412556,"Fare, Embarked"
AdaBoost,0.6860986547085202,Age
AdaBoost,0.6860986547085202,"Pclass, Age, SibSp"
AdaBoost,0.6860986547085202,"Pclass, Parch, Fare"
AdaBoost,0.6860986547085202,"Age, Parch, Fare"
AdaBoost,0.6860986547085202,"Age, Fare, Embarked"
AdaBoost,0.6860986547085202,"Parch, Fare, Embarked"
AdaBoost,0.6860986547085202,"Pclass, SibSp, Parch, Fare"
AdaBoost,0.6860986547085202,"Age, Parch, Fare, Embarked"
AdaBoost,0.6816143497757847,"Pclass, Fare"
AdaBoost,0.6816143497757847,"Age, Fare"
AdaBoost,0.6816143497757847,"Pclass, Age, SibSp, Parch"
AdaBoost,0.6771300448430493,Pclass
AdaBoost,0.6771300448430493,"Pclass, SibSp"
AdaBoost,0.6771300448430493,"Age, Embarked"
AdaBoost,0.6771300448430493,"Pclass, Age, Parch"
AdaBoost,0.6771300448430493,"Pclass, SibSp, Parch"
AdaBoost,0.672645739910314,"Age, SibSp, Parch"
AdaBoost,0.672645739910314,"Age, Parch, Embarked"
AdaBoost,0.6681614349775785,"Age, SibSp"
AdaBoost,0.6681614349775785,"SibSp, Parch"
AdaBoost,0.6636771300448431,Embarked
AdaBoost,0.6636771300448431,"SibSp, Embarked"
AdaBoost,0.6636771300448431,"Parch, Embarked"
AdaBoost,0.6636771300448431,"Age, SibSp, Embarked"
